,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1452,2016-04-19,BTCUSD,"427,99","435,0","427,98","435,0","1419,48","609416,58"
1453,2016-04-18,BTCUSD,"426,2","428,7","426,2","427,99","870,72","372478,85"
1454,2016-04-17,BTCUSD,"429,99","430,09","426,2","426,2","218,68","93759,27"
1455,2016-04-16,BTCUSD,"429,53","432,5","429,52","429,99","493,59","212553,43"
1456,2016-04-15,BTCUSD,"424,96","429,84","424,96","429,53","1549,86","663556,99"
1457,2016-04-14,BTCUSD,"424,53","425,6","424,1","424,96","938,77","398729,37"
1458,2016-04-13,BTCUSD,"426,43","426,75","421,99","424,53","2049,84","871512,71"
1459,2016-04-12,BTCUSD,"423,23","427,24","423,23","426,43","1405,46","598581,62"
1460,2016-04-11,BTCUSD,"420,73","423,24","419,51","423,23","1184,23","499197,84"
1461,2016-04-10,BTCUSD,"416,67","420,74","416,67","420,73","444,09","185924,26"
1462,2016-04-09,BTCUSD,"418,39","418,39","412,21","416,67","425,9","177374,31"
1463,2016-04-08,BTCUSD,"422,59","424,39","415,45","418,39","2910,51","1227064,07"
1464,2016-04-07,BTCUSD,"422,82","422,84","419,65","422,59","1063,18","448516,79"
1465,2016-04-06,BTCUSD,"422,48","423,28","422,3","422,82","1184,0","500636,53"
1466,2016-04-05,BTCUSD,"419,99","423,44","419,86","422,48","1068,1","450811,6"
1467,2016-04-04,BTCUSD,"419,45","419,99","417,74","419,99","692,01","289850,73"
1468,2016-04-03,BTCUSD,"420,0","420,0","418,93","419,45","106,09","44510,42"
1469,2016-04-02,BTCUSD,"416,48","421,18","416,48","420,0","826,35","346497,1"
1470,2016-04-01,BTCUSD,"416,36","416,88","414,59","416,48","732,45","304703,12"
1471,2016-03-31,BTCUSD,"413,7","416,94","413,7","416,36","1122,37","466556,09"
1472,2016-03-30,BTCUSD,"414,25","414,64","408,62","413,7","733,55","302278,38"
1473,2016-03-29,BTCUSD,"422,16","423,75","405,83","414,25","1440,19","594301,55"
1474,2016-03-28,BTCUSD,"424,47","424,47","422,0","422,16","870,6","368112,34"
1475,2016-03-27,BTCUSD,"416,92","426,75","416,65","424,47","2006,26","846262,98"
1476,2016-03-26,BTCUSD,"416,11","416,98","416,11","416,92","411,06","171326,93"
1477,2016-03-25,BTCUSD,"415,55","416,98","412,79","416,11","952,99","396135,74"
1478,2016-03-24,BTCUSD,"417,01","417,16","413,92","415,55","940,74","391557,49"
1479,2016-03-23,BTCUSD,"416,83","418,54","416,83","417,01","794,82","331613,57"
1480,2016-03-22,BTCUSD,"411,4","418,0","411,39","416,83","922,05","383507,99"
1481,2016-03-21,BTCUSD,"410,99","411,4","408,66","411,4","811,47","332971,56"
1482,2016-03-20,BTCUSD,"409,88","410,99","409,88","410,99","307,22","125995,74"
1483,2016-03-19,BTCUSD,"407,59","409,88","405,66","409,88","595,51","242633,91"
1484,2016-03-18,BTCUSD,"418,95","418,95","403,47","407,59","1017,68","415330,71"
1485,2016-03-17,BTCUSD,"416,0","419,0","416,0","418,95","938,0","392406,2"
1486,2016-03-16,BTCUSD,"416,0","416,0","414,71","416,0","1443,06","599306,72"
1487,2016-03-15,BTCUSD,"413,99","416,09","413,98","416,0","1294,92","537881,24"
1488,2016-03-14,BTCUSD,"411,18","414,14","411,16","413,99","569,47","235320,23"
1489,2016-03-13,BTCUSD,"409,72","412,54","409,25","411,18","1668,66","685385,15"
1490,2016-03-12,BTCUSD,"418,93","420,17","405,96","409,72","1090,13","447418,4"
1491,2016-03-11,BTCUSD,"414,68","420,34","414,68","418,93","1525,97","638915,25"
1492,2016-03-10,BTCUSD,"410,79","414,68","410,07","414,68","1792,31","738683,02"
1493,2016-03-09,BTCUSD,"412,09","412,99","408,22","410,79","3337,91","1370297,92"
1494,2016-03-08,BTCUSD,"413,16","413,49","408,0","412,09","1369,93","562777,31"
1495,2016-03-07,BTCUSD,"403,44","413,31","399,26","413,16","2423,93","988846,2"
1496,2016-03-06,BTCUSD,"393,5","403,96","378,71","403,44","400,98","156921,05"
1497,2016-03-05,BTCUSD,"408,87","409,06","367,0","393,5","3115,9","1247431,02"
1498,2016-03-04,BTCUSD,"419,24","421,07","408,4","408,87","2517,71","1049127,3"
1499,2016-03-03,BTCUSD,"423,97","423,97","414,06","419,24","2856,05","1196323,59"
1500,2016-03-02,BTCUSD,"432,32","433,73","422,29","423,97","869,86","372954,62"
1501,2016-03-01,BTCUSD,"437,05","438,98","427,41","432,32","902,27","391113,93"
1502,2016-02-29,BTCUSD,"431,59","440,99","430,14","437,05","984,47","429948,59"
1503,2016-02-28,BTCUSD,"431,47","433,36","421,01","431,59","420,85","179601,89"
1504,2016-02-27,BTCUSD,"427,5","434,18","427,5","431,47","485,03","208782,58"
1505,2016-02-26,BTCUSD,"423,98","427,51","418,89","427,5","803,73","340617,72"
1506,2016-02-25,BTCUSD,"421,32","426,55","416,86","423,98","673,43","284397,26"
1507,2016-02-24,BTCUSD,"418,77","422,99","410,82","421,32","775,35","326202,9"
1508,2016-02-23,BTCUSD,"436,45","438,23","412,07","418,77","1580,33","661748,35"
1509,2016-02-22,BTCUSD,"439,28","440,12","431,13","436,45","1300,83","569935,95"
1510,2016-02-21,BTCUSD,"440,75","448,0","426,2","439,28","543,72","237933,71"
1511,2016-02-20,BTCUSD,"419,04","442,0","419,04","440,75","949,26","407875,43"
1512,2016-02-19,BTCUSD,"422,21","422,21","416,18","419,04","829,64","348577,17"
1513,2016-02-18,BTCUSD,"415,9","422,92","414,44","422,21","1800,84","755629,14"
1514,2016-02-17,BTCUSD,"406,72","420,25","406,72","415,9","1425,81","596048,72"
1515,2016-02-16,BTCUSD,"398,27","409,33","398,23","406,72","1144,29","465347,88"
1516,2016-02-15,BTCUSD,"406,18","407,94","396,71","398,27","867,76","350254,95"
1517,2016-02-14,BTCUSD,"386,51","406,18","386,51","406,18","1676,36","670546,45"
1518,2016-02-13,BTCUSD,"383,85","386,52","383,85","386,51","164,45","63308,6"
1519,2016-02-12,BTCUSD,"376,09","384,71","376,03","383,85","1650,92","629776,6"
1520,2016-02-11,BTCUSD,"380,07","380,57","373,07","376,09","1032,28","389108,52"
1521,2016-02-10,BTCUSD,"374,0","384,19","373,02","380,07","1559,69","594481,56"
1522,2016-02-09,BTCUSD,"371,47","377,09","371,47","374,0","935,99","350955,64"
1523,2016-02-08,BTCUSD,"376,03","377,86","371,31","371,47","958,04","358682,2"
1524,2016-02-07,BTCUSD,"375,31","378,55","373,39","376,03","184,05","69217,17"
1525,2016-02-06,BTCUSD,"387,21","387,21","371,09","375,31","480,03","181099,83"
1526,2016-02-05,BTCUSD,"390,17","390,17","384,8","387,21","894,87","346279,69"
1527,2016-02-04,BTCUSD,"368,7","391,7","368,7","390,17","1799,16","686745,79"
1528,2016-02-03,BTCUSD,"373,2","373,2","367,41","368,7","907,36","336253,34"
1529,2016-02-02,BTCUSD,"371,74","375,41","371,74","373,2","977,83","365562,48"
1530,2016-02-01,BTCUSD,"370,0","378,99","366,62","371,74","935,68","349785,67"
1531,2016-01-31,BTCUSD,"378,33","380,0","369,54","370,0","162,26","61072,38"
1532,2016-01-30,BTCUSD,"379,39","380,0","374,53","378,33","247,86","93570,38"
